POLARITY		CONCEPT
positive		accompaniment_family
positive		accompany
positive		accompanying
positive		accompanying_diagram
positive		accompanying_documentation
positive		accompanying_spouse
negative		accompanying_symptom
positive		accomplish
positive		accomplish_goal
positive		accomplish_optimal
positive		accomplished
positive		accomplished_dancer
negative		accomplished_equestrian
negative		accomplished_horseback_rider
negative		accomplished_horseman
negative		accomplished_travel
positive		accomplishment
positive		accomplouse
positive		accomplouse_flag
positive		accord
positive		accordait
positive		accordance
positive		accordance_with
positive		accordant
positive		accordantly
positive		accordingly
positive		accordion
positive		accost
positive		accountability
positive		accountable
positive		accountable_governance
negative		accountant
positive		accountholder
negative		accounting_function
positive		accounting_profession
negative		accounts_after
negative		accounts_receivable
positive		accoutre
positive		accoutrement
positive		accredit
negative		accredit_crunch
positive		accredit_excellence
negative		accreditation
negative		accredited_breeder
positive		accredited_institution
positive		accrete
positive		accretion
positive		accretion_disc
positive		accretion_pace
positive		accretion_range
positive		accretion_rank
positive		accretion_rate
positive		accretion_value
negative		accretionary
positive		accretionary_wedge
positive		accrual
positive		accrue
negative		accrue_asleep
negative		accrued_concern
negative		accrued_interest
negative		accrued_involvement
negative		accrued_occupy
negative		accrued_pastime
negative		accrued_pursuit
negative		accrued_stake
positive		accrued_vacation
negative		accrued_worry
positive		acculturation
positive		acculturative
negative		accumulate
positive		accumulate_cognition
negative		accumulate_debt
positive		accumulate_knowledge
positive		accumulate_wealth
positive		accumulated_deficit
negative		accumulated_depreciation
negative		accumulated_dirt
negative		accumulated_filth
negative		accumulated_grease
negative		accumulated_grime
negative		accumulated_scandal
positive		accumulated_shortfall
negative		accumulated_soil
negative		accumulated_stain
positive		accumulated_wealth
positive		accumulating_wealth
positive		accumulation
positive		accumulation_age
negative		accumulation_assistant
positive		accumulation_guardian
negative		accumulation_malpractice
negative		accumulation_obligation
positive		accumulation_pattern
positive		accumulation_rate
positive		accumulation_route
positive		accumulation_shop
negative		accumulative_dose
negative		accumulative_impact
positive		accumulator
positive		accuracy
positive		accurate
positive		accurate_assessment
positive		accurate_calculation
negative		accurate_calibration
positive		accurate_conclusion
positive		accurate_copy
negative		accurate_debridement
positive		accurate_decision
positive		accurate_delegacy
positive		accurate_determination
positive		accurate_estimate
positive		accurate_estimation
positive		accurate_etiology
positive		accurate_gown
negative		accurate_hibernator
positive		accurate_incision
positive		accurate_internal_representation
negative		accurate_kin
negative		accurate_mask
positive		accurate_measurement
positive		accurate_mental_representation
negative		accurate_observance
positive		accurate_pathology
positive		accurate_purpose
positive		accurate_repair
positive		accurate_representation
negative		accurate_risk
negative		accurate_sparrow
negative		accurate_standardization
positive		accurate_theatrical
positive		accurate_vocation
positive		accurately
positive		accurately_calculate
negative		accurately_comprehend
positive		accurately_convey
positive		accurately_describe
positive		accurately_determine
positive		accurately_diagnose
positive		accurately_estimate
positive		accurately_forecast
negative		accurately_imitative
positive		accurately_interpret
positive		accurately_locate
negative		accurately_mime
negative		accurately_mimic
negative		accurately_mimicker
negative		accurately_perceive
negative		accurately_predict
positive		accurately_reconstruct
negative		accurately_recreate
positive		accurately_reflect
negative		accurately_replicate
negative		accurately_reproduce
negative		accurately_simulate
negative		accurse
positive		accurst
negative		accuse
positive		ace
positive		ace_in_hole
negative		acedia
negative		acedia_bear
negative		acentric
positive		acerate
positive		acerate_descriptive_statistic
positive		acerate_shape
negative		acerb
positive		acerb_chloride
negative		acerb_digestion
negative		acerb_disease
positive		acerb_food
positive		acerb_indigestion
negative		acerb_remark
negative		acerb_rot
positive		acerb_smell
negative		acerb_smoke
positive		acerb_taste
negative		acerbate
negative		acerbic
positive		acerbic_chloride
negative		acerbic_digestion
negative		acerbic_disease
positive		acerbic_food
positive		acerbic_indigestion
negative		acerbic_remark
negative		acerbic_rot
negative		acerbic_smell
negative		acerbic_smoke
negative		acerbic_taste
positive		acerbic_wit
positive		acerose
positive		acerose_descriptive_statistic
positive		acerose_elegance
positive		acerose_leaf
positive		acerose_shape
negative		acesulfame_potassium
positive		acetabular
positive		acetabulum
negative		acetaminophen
negative		acetazolamide
negative		acetic_acerb
negative		acetic_acerbic
negative		acetic_acid
negative		acetic_acidic
negative		acetic_acrid
negative		acetic_bitter
negative		acetic_caustic
negative		acetic_dose
negative		acetic_pane
negative		acetic_sour
negative		acetic_superman
negative		acetic_virulent
negative		acetic_vitriolic
negative		acetify
positive		acetify_taste
negative		acetobacter
positive		acetophenone
positive		acetose
positive		acetose_food
positive		acetose_taste
positive		acetyl
negative		acetyl_chloride
negative		acetylcholine_ach
negative		acetylcysteine
negative		acetylene
negative		acetylsalicylic_acid
positive		achalasia
negative		ache
positive		achene
negative		acheronian
negative		acheronian_blotch
negative		acheronian_elf
negative		acheronian_green_fritillary
positive		acheronian_light
negative		acheronian_shadow
positive		acheronian_soy_sauce
negative		acheronian_stripe
positive		acheronian_underbelly
negative		acherontic
negative		acherontic_blotch
negative		acherontic_elf
negative		acherontic_green_fritillary
positive		acherontic_light
negative		acherontic_shadow
positive		acherontic_soy_sauce
negative		acherontic_stripe
positive		acherontic_underbelly
positive		achieve
positive		achieve_best
positive		achieve_goal
positive		achieve_immortality
positive		achieve_optimal
positive		achieve_optimum
positive		achieve_orgasm
negative		achieve_parity
positive		achieve_regulatory_compliance
positive		achieve_sustainable
positive		achieve_uniformity
positive		achillea
negative		achilles
negative		achilles_heel
negative		achilles_injury
negative		achilles_tendon
negative		achilles_tendon_injury
negative		aching
negative		aching_affection
positive		aching_beauty
negative		aching_bosom
negative		aching_eye
positive		aching_foot
negative		aching_gist
negative		aching_heart
negative		aching_heart_and_soul
negative		aching_kernel
negative		aching_marrow
negative		aching_meat
negative		aching_mettle
negative		aching_nerve
negative		aching_nitty_gritt
negative		aching_nub
negative		aching_pain
negative		aching_philia
negative		aching_pith
negative		aching_spirit
negative		aching_spunk
negative		aching_substance
negative		aching_sum
negative		aching_ticker
negative		achingly
negative		achingly_aesthetic
negative		achingly_aesthetical
negative		achingly_beautiful
negative		achingly_bonny
negative		achingly_comely
negative		achingly_dishy
negative		achingly_exquisite
negative		achingly_fair
negative		achingly_graceful
negative		achingly_handsome
negative		achingly_lovely
negative		achingly_picturesque
negative		achingly_pleasant
negative		achingly_pretty_pretty
negative		achingly_resplendent
negative		achingly_scenic
negative		achingly_sightly
negative		achingly_splendid
negative		achingly_stunning
positive		achkan
negative		achlorhydria
negative		achondroplasia
negative		achondroplasty
negative		achosi
negative		achromasia
positive		achromat
positive		achromatic
positive		achromatic_ace
positive		achromatic_arbiter
positive		achromatic_birch
negative		achromatic_blotch
positive		achromatic_color
positive		achromatic_coloration
positive		achromatic_colorise
positive		achromatic_colorize
positive		achromatic_colouration
positive		achromatic_colourise
positive		achromatic_colourize
positive		achromatic_crash
positive		achromatic_discolor
positive		achromatic_distort
positive		achromatic_emblazon
positive		achromatic_flesh
negative		achromatic_fuel
positive		achromatic_glitter
positive		achromatic_green
positive		achromatic_green_foliage
positive		achromatic_grill
positive		achromatic_leaf
positive		achromatic_light
positive		achromatic_medallion
negative		achromatic_oxide
negative		achromatic_reason
negative		achromatic_sable
positive		achromatic_semblance
positive		achromatism
negative		achromatopsia
negative		achte
negative		achy
negative		achy_inflammation
negative		achy_stimulus
positive		acicular
positive		acicular_descriptive_statistic
positive		acicular_design
positive		acicular_elegance
negative		acicular_fracture
positive		acicular_leaf
positive		acicular_shape
negative		acicular_unicellular_organism
negative		acid
negative		acid_addition_salt
negative		acid_bath
negative		acid_blocker
negative		acid_catalyst
positive		acid_chloride
positive		acid_cleaner
positive		acid_cole
positive		acid_dependent
negative		acid_digestion
negative		acid_disease
positive		acid_dissociation_constant
positive		acid_dyspepsia
positive		acid_fast
negative		acid_fast_surface
positive		acid_food
positive		acid_forming_food
negative		acid_grassland
positive		acid_impersonator
positive		acid_indigestion
negative		acid_rain
negative		acid_remark
negative		acid_rot
positive		acid_scavenger
negative		acid_secretion
negative		acid_smell
negative		acid_smoke
negative		acid_taste
positive		acidic
positive		acidic_appreciation
positive		acidic_chloride
positive		acidic_cleaner
positive		acidic_cleanser
positive		acidic_cleansing_agent
negative		acidic_digestion
positive		acidic_discernment
positive		acidic_dry_cleaner
negative		acidic_environment
positive		acidic_food
negative		acidic_grassland
positive		acidic_gustation
positive		acidic_gustatory_modality
positive		acidic_gustatory_perceptio
positive		acidic_indigestion
positive		acidic_liquid
positive		acidic_mouthful
positive		acidic_penchant
positive		acidic_predilection
positive		acidic_preference
positive		acidic_sample
positive		acidic_smack
negative		acidic_solution
positive		acidic_substance
negative		acidic_taste
negative		acidic_urine
negative		acidic_water
negative		acidification
negative		acidify
positive		acidify_food
positive		acidify_taste
positive		acidity
positive		acidity_food
positive		acidity_taste
negative		acidly
positive		acidophil
positive		acidophile
positive		acidophilic
negative		acidophilus
negative		acidophilus_bacterium
negative		acidophilus_flora
negative		acidophilus_microflora
negative		acidulate
positive		acidulate_food
positive		acidulate_taste
positive		acidulent
positive		acidulent_chloride
positive		acidulent_cleaner
negative		acidulent_digestion
positive		acidulent_food
positive		acidulent_indigestion
negative		acidulent_taste
positive		aciduria
positive		acini
positive		ack_ack
positive		ack_ack_vest
positive		ackee
positive		acknowledge
positive		acknowledge_excellence
positive		acknowledge_guilt
positive		acknowledge_receipt
negative		acknowledgeable
positive		acknowledgement
positive		acknowledges_receipt
positive		acknowledging_receipt
positive		acknowledgment
negative		acknowledgment_crunch
positive		acknowledgment_index
negative		acne
negative		acned
positive		acnielsen
negative		acoel
negative		acold
negative		acold_blooded_murderer
positive		acold_bloodedly
negative		acold_cereal
positive		acold_color
positive		acold_drizzle
positive		acold_food
negative		acold_medicine
positive		acold_pasteurization
positive		acold_symptom
positive		acolyte
positive		aconite
positive		acorn_nut
positive		acorn_worm
negative		acoustic
negative		acoustic_aphasia
positive		acoustic_ballad
negative		acoustic_drum
positive		acoustic_guitar
negative		acoustic_impedance
positive		acoustic_instrument
negative		acoustic_instrumentation
positive		acoustic_nerve
positive		acoustic_pulse
negative		acoustical
negative		acoustically
positive		acoustics
positive		acquaint
positive		acquaintance
positive		acquaintance_rape
positive		acquaintanceship
positive		acquainted_with
positive		acquiesce
positive		acquire
positive		acquire_cognition
positive		acquire_knowledge
positive		acquire_new
negative		acquired_immunity
positive		acquired_taste
positive		acquirement
negative		acquis_communautaire
positive		acquisition
positive		acquisition_component
positive		acquisition_outreach
negative		acquisitive
negative		acquisitive_pronoun
positive		acquisitiveness
negative		acquisitiviness
positive		acquit
positive		acquits
positive		acquittal
positive		acquitted
negative		acral
negative		acrid
negative		acrid_aroma
positive		acrid_chloride
negative		acrid_digestion
negative		acrid_disease
negative		acrid_flavor
positive		acrid_indigestion
negative		acrid_odor
positive		acrid_olfaction
negative		acrid_remark
negative		acrid_rot
negative		acrid_scent
negative		acrid_smell
negative		acrid_smoke
positive		acrid_spirit
negative		acrid_stench
negative		acrid_taste
negative		acridity
positive		acrimoniously
negative		acrimoniousness
positive		acrimony
positive		acrobat
positive		acrobat_distiller
positive		acrobat_lecturer
positive		acrobat_professional
positive		acrobat_proofreader
positive		acrobat_referee
positive		acrobat_reviewer
positive		acrobatic
positive		acrobatic_component
positive		acrobatic_contributor
positive		acrobatic_dance
positive		acrobatic_employee_benefit
negative		acrobatic_involvement
negative		acrobatic_sunspot
positive		acrobatic_wear
positive		acrobatically
positive		acrobits_softphone
negative		acromegalic
positive		acromegaly
positive		acromion
positive		acronym
negative		acronymic
positive		acroread
positive		across_board
positive		across_board_assessment
negative		across_board_circulation
positive		across_board_deforestation
negative		across_board_prohibition
positive		across_board_range
negative		across_board_renovation
positive		across_board_spectrum
positive		across_street
negative		acrotomophilia
positive		acrylate_resin_acid
positive		act
positive		act_of_valor
negative		act_up
negative		actara
positive		actias_luna
positive		activcard
positive		activewear
positive		actualise
negative		actuality
positive		actualization
positive		actualize
negative		actuarial_assumption
positive		actuarial_balance
positive		actuarial_balance_wheel
positive		actuarial_correspondence
positive		actuarial_counterbalance
positive		actuarial_counterpoise
positive		actuarial_counterweight
positive		actuarial_deficit
positive		actuarial_equalise
positive		actuarial_equalizer
positive		actuarial_equilibrate
positive		actuarial_equilibrium
positive		actuarial_equilibrize
positive		actuarial_equipoise
positive		actuarial_libra
positive		actuarial_poise
positive		actuarial_proportion
positive		actuarial_proportionality
positive		actuarial_remainder
positive		actuarial_residual
positive		actuarial_residue
positive		actuarial_residuum
positive		actuarial_symmetry
positive		actuate
positive		actuate_plug
negative		actuate_removal
positive		actuated
positive		actuation
positive		actuator
negative		actus_reus
negative		acuate
negative		acuate_asthma_attack
positive		acuate_contrast
negative		acuate_economic_downturn
negative		acuate_increase
positive		acuate_intellect
negative		acuate_malnutrition
negative		acuate_reduction
negative		acuate_renal_failure
negative		acuate_schizophrenia
positive		acuate_tailed_sandpiper
positive		acuity
positive		acuman
positive		acumen
positive		acuminate
positive		acuminate_descriptive_statistic
positive		acuminate_design
positive		acuminate_elegance
negative		acuminate_fracture
positive		acuminate_leaf
positive		acuminate_shape
negative		acuminate_unicellular_organism
positive		acutance
positive		acute
negative		acute_adrenal_insufficiency
negative		acute_alcoholism
positive		acute_angled_triangle
negative		acute_anxiety
positive		acute_appreciation
positive		acute_aroma
negative		acute_asthma
negative		acute_asthma_assail
negative		acute_asthma_assault
negative		acute_asthma_attack
negative		acute_asthma_attempt
negative		acute_asthma_blast
negative		acute_asthma_flack
negative		acute_asthma_onrush
negative		acute_asthma_onset
negative		acute_asthma_onslaught
negative		acute_asthma_snipe
positive		acute_bacterial
negative		acute_barrage
negative		acute_bronchial_asthma_attack
positive		acute_care
negative		acute_care_hospital
negative		acute_collector
positive		acute_contrast
negative		acute_coronary_syndrome
negative		acute_delirium
negative		acute_dementia_praecox
positive		acute_diarrhea
positive		acute_dilemma
negative		acute_disease
negative		acute_economic_downturn
negative		acute_exacerbation
negative		acute_excretory_organ_failure
negative		acute_fever
positive		acute_flavor
negative		acute_fulminant
negative		acute_glaucoma
negative		acute_heart_failure
negative		acute_increase
negative		acute_inflammation
negative		acute_inflammatory
negative		acute_inflammatory_response
negative		acute_information
negative		acute_injury
positive		acute_intellect
positive		acute_intermittent_porphyria
negative		acute_intoxication
negative		acute_ischemia
negative		acute_kidney_failure
negative		acute_kidney_injury
negative		acute_liver_failure
negative		acute_malnutrition
negative		acute_metabolism
negative		acute_metabolism_syndrome
positive		acute_myocardial_infarction
negative		acute_nephritic_failure
negative		acute_onset
negative		acute_pain
negative		acute_pang
negative		acute_pneumonia
positive		acute_porphyria
negative		acute_psychiatric
negative		acute_reduction
negative		acute_renal_bankruptcy
negative		acute_renal_failure
negative		acute_renewal
negative		acute_respiratory
negative		acute_respiratory_failure
negative		acute_respiratory_syndrome
positive		acute_review
positive		acute_rheumatic_fever
negative		acute_schizophrenia
negative		acute_schizophrenic_disease
negative		acute_stress_disease
negative		acute_symptom
positive		acute_tailed_sandpiper
positive		acute_tool
negative		acute_tooth
negative		acute_trauma
positive		acute_triangle
negative		acute_upper_airway
negative		acute_urinary_organ_failure
negative		acute_urinary_retention
positive		acute_wit
negative		acutely
positive		acutely_aware
positive		acutely_contrast
negative		acutely_economic_downturn
negative		acutely_increase
positive		acutely_intellect
negative		acutely_pang
negative		acutely_reduction
positive		acutely_tailed_sandpiper
positive		acutely_tool
negative		acutely_toxic
negative		acutely_vulnerable
positive		acutely_wit
positive		acyclic_dicarboxylic_acid
negative		acylanilide
positive		ad_lib
negative		ad_nauseam
positive		adage
positive		adagio
positive		adaiah
positive		adalia_bipunctata
positive		adamant
positive		adamant_dust
positive		adamant_heist
negative		adamant_refusal
negative		adamantine
negative		adamantine_clam
positive		adamantine_currency
negative		adamantine_disk_storage
negative		adamantine_grounder
positive		adamantine_hat
positive		adamantine_metal
negative		adamantine_refusal
positive		adamantine_scrabble
positive		adamantine_wood
positive		adamantium
negative		adamantly
positive		adamic_language
negative		adams_stokes_syndrome
positive		adapt
positive		adaptability
positive		adaptable
negative		adaptable_camouflage_pattern
positive		adaptable_cartilage
positive		adaptable_critical_acclaim
positive		adaptable_emancipation
positive		adaptable_height
