"term","sentiment"
"ac adapter","6.7"
"ac adaptor","6.7"
"ac chart","10.3"
"ac impedance","80.2"
"ac power","6.3"
"ac traction","58.6"
"academe","91.9"
"academese","-93"
"academia","92.3"
"academic","-79"
"academic achievement","10.6"
"academic administrator","88.8"
"academic adviser","-2"
"academic advisor","-2"
"academic discipline","7.7"
"academic excellence","8.2"
"academic integrity","81.7"
"academic merit","36.6"
"academic registrar","8.4"
"academic requirement","89.8"
"academic science","80.6"
"academical","-72"
"academically","85.3"
"academician","-79"
"academicism","64.5"
"academicyear month","69.8"
"academy","78.2"
"academy nda","-86"
"acalculia","-88"
"acantha","-78"
"acanthamoeba","3.2"
"acanthotic","-85"
"acaricide","-31"
"acarophobia","-77"
"acarpous","-78"
"acb slam dunk","83.4"
"accede","93.3"
"accelerant","88.1"
"accelerate","75.2"
"accelerated depreciation","-77"
"accelerated erosion","-77"
"acceleration","-86"
"accelerator","76.7"
"accelerometer","87.1"
"accent","73.7"
"accent lighting","-68"
"accented english","-95"
"accented letter","5.4"
"accentuate","-82"
"accentuation","-16"
"accepit","-81"
"accept","93.3"
"accept challenge","88.7"
"accept responsibility","91.2"
"acceptability","-85"
"acceptable","85.3"
"acceptable excuse","72.2"
"acceptableness","84.4"
"acceptance","33"
"acceptation","62.1"
"accepted","59.4"
"accepting change","89.3"
"accepts responsibility","91.2"
"access","76.4"
"access computer","84.9"
"access csma","6.6"
"access internet","77.6"
"access offa","73"
"access quickly","75.7"
"accessary","78.8"
"accessed through","76.4"
"accessforall","8"
"accessibility","95.9"
"accessibility template vpat","2.3"
"accessible","76.1"
"accessible toilet","76.3"
"accessible via","76.4"
"accessible via telnet","79.7"
"accessing inappropriate","8"
"accessorial","-81"
"accessorise","-75"
"accessorize outfit","9.3"
"accessory","7.3"
"accessory shoe","-84"
"accident","-11"
"accident-prone","-82"
"accident game","-93"
"accident happen","-89"
"accident prevention","11"
"accidental","-81"
"accidental contamination","-72"
"accidental damage","-66"
"accidental death","-91"
"accidental deletion","72.8"
"accidental detonation","-85"
"accidental discovery","65.8"
"accidental explosion","-4"
"accidental ignition","-85"
"accidental injury","-69"
"accidental pregnancy","88.2"
"accidentally","-86"
"accidentally delete","-3"
"accidie","19.6"
"accipiter","-82"
"acclaim","88.7"
"acclaimed","91"
"acclaimed documentary","76.2"
"acclamation","80.7"
"acclimate","-78"
"acclimatise","-78"
"acclimatised","-78"
"acclimatization","-78"
"acclimatize","-78"
"acclimatizing","-78"
"accolade","11.5"
"accommodate","76.8"
"accommodation","10.7"
"accommodative","-90"
"accomodate","2.2"
"accomodation","5.9"
"accompanying diagram","6.7"
"accompanying spouse","83.9"
"accomplice","-95"
"accomplish","84.9"
"accomplish goal","16.1"
"accomplish mission","29"
"accomplish task","30"
"accomplished","81.4"
"accomplished athlete","97"
"accomplished dancer","-86"
"accomplishment","11.4"
"accord","82.4"
"accord sur","75.3"
"accordance","85.4"
"accordance with","8.9"
"accordant","64"
"accordantly","80.6"
"according","64"
"accordingly","13.2"
"accordion style","6.3"
"accost","66"
"account","15.7"
"account book","4.8"
"account department","5.4"
"account holder","12.2"
"account indebtedness","-80"
"account payable","-84"
"account receivable","11.9"
"accountability","81.7"
"accountable","87.9"
"accountant","5.6"
"accountant office","5.4"
"accountedge","4"
"accounting","70.8"
"accounting firm","76.7"
"accounting fraud","-84"
"accounting profession","7.7"
"accouterment","96.3"
"accoutrement","84.6"
"accreditation","7.1"
"accrete","-84"
"accretion","88"
"accretion disc","-75"
"accrue","75.6"
"accrued interest","-80"
"acculturation","92.9"
"accumulate","8.7"
"accumulate debt","-4"
"accumulate knowledge","81.1"
"accumulate stress","-65"
"accumulate stress city","-85"
"accumulate wealth","-81"
"accumulated depreciation","-77"
"accumulated wealth","89.3"
"accumulating wealth","79.8"
"accumulation","75.4"
"accumulator","4.7"
"accuracy","3.3"
"accurate","3.3"
"accurate calibration","-88"
"accurate description","16.7"
"accurate estimate","17.8"
"accurate estimation","84.6"
"accurate measurement","72.6"
"accurately","81.4"
"accurately describe","6.4"
"accurately determine","72.6"
"accurately estimate","17.8"
"accurately gauge","72.6"
"accurately measure","72.6"
"accurately predict","-79"
"accurse","-78"
"accusation","-77"
"accusative","-75"
"accusatory","-80"
"accuse","-11"
"accuse person","-11"
"accused","-87"
"accused fort hood","-79"
"accused rapist","67.5"
"accuser","-11"
"accusing","-80"
"accusingly","-32"
"accusive","-80"
"accuweather","-4"
"ace","4.4"
"ace hardware","91.7"
"ace inhibitor","-67"
"acellular pertussis vaccine","-10"
"acer griseum","-60"
"acer negundo","-60"
"acer palmatum","-60"
"acer rubrum","64.8"
"acer saccharum","-68"
"acerb","-92"
"acerbate","-72"
"acerbic","-78"
"acerbic wit","-62"
"acerbity","-82"
"acetabular","65.3"
"acetabular component","-9"
"acetabular cup","-9"
"acetabulum","65.3"
"acetaminophen","-76"
"acetaminophen tylenol","-73"
"acetate","-3"
"acetazolamide","-67"
"acetic acid","5.2"
"acetic anhydride","-78"
"acetify","-58"
"acetone","81.6"
"acetyl chloride","-78"
"acetylacetone","-85"
"acetylcholine ach","78.3"
"acetylcholine release","64.4"
"acf","6.5"
"ach credit","6.8"
"ach debit","6.8"
"ach tha","87.5"
"achaar","-66"
"achalasia","-70"
"achamoth","82.3"
"ache","-74"
"achene","8.2"
"achievability","-82"
"achievable","10.1"
"achieve","90.7"
"achieve goal","11.5"
"achieve immortality","81.6"
"achieve orgasm","70.9"
"achieve parity","-68"
"achieve regulatory compliance","79.8"
"achieved","86.4"
"achievement","18.7"
"achievement motivation","90.4"
"achiever","73.5"
"achievment","94.1"
"achillea","83.1"
"achillea millefolium","77.9"
"achilles injury","-71"
"achilles problem","78.1"
"achilles tendon","78.1"
"aching","-74"
"aching feet","71.2"
"aching head","-89"
"aching heart","-24"
"aching void","-81"
"achingly","-80"
"achingly beautiful","-23"
"achish","89"
"achlorhydria","-56"
"achondrogenesis type","74.7"
"achondroplasia","-81"
"achromasia","-65"
"achromat","4.2"
"achromatic","-61"
"achromatic color","-74"
"achromatopsia","-81"
"achy","77.2"
"aci worldwide","-67"
"acicular","-91"
"acid","-3"
"acid-forming","-78"
"acid-producing","-78"
"acid bath","-3"
"acid battery pack","-100"
"acid grassland","-74"
"acid indigestion","-73"
"acid reflux","-73"
"acid reflux disease","-73"
"acid regurgitation","-73"
"acidic","-3"
"acidic proton","66.7"
"acidic solution","-78"
"acidification","-84"
"acidify","-58"
"acidity","-82"
"acidly","-32"
"acidophil","80.5"
"acidophile","80.5"
"acidophilus","-98"
"acidophilus bacterium","-98"
"acidophilus flora","-98"
"acidophilus microflora","-98"
"acidulate","-58"
"acidulousness","-84"
"aciduria","-79"
"acinonyx","5.4"
"aciphex","-73"
"ack message","94.7"
"acknowledge","5.7"
"acknowledge receipt","78.5"
"acknowledgeable","94.7"
"acknowledged","-69"
"acknowledgement","97.2"
"acknowledges receipt","11.3"
"acknowledgeth","64"
"acknowledging receipt","78.5"
"acknowledgment","93.4"
"acknowledgment letter","78.5"
"acleistoceratidae","-73"
"aclu","64"
"acm digital","77.4"
"acml","-80"
"acne","-96"
"acne medication","-90"
"acned","-83"
"acolyte","-72"
"aconite","-53"
"acorn squash","35.7"
"acorn winter squash","-74"
"acoustic","91.1"
"acoustic aphasia","-88"
"acoustic noise","-72"
"acoustic power","68.4"
"acoustic signal","-80"
"acoustic trio","81.3"
"acoustic version","84.4"
"acoustical","-91"
"acp cartridge","91.7"
"acquaint","66.4"
"acquaint student with","94.8"
"acquaintance","64.8"
"acquaintance rape","-77"
"acquaintanceship","32.8"
"acquainted with","2.2"
"acquiesce","-73"
"acquiescence","-74"
"acquiescent","-41"
"acquire","7.1"
"acquire goods","8.8"
"acquire information","19.4"
"acquire knowledge","73.8"
"acquire wealth","82.3"
"acquired taste","75.2"
"acquirement","72.9"
"acquisition","69.8"
"acquisitive","-75"
"acquisitive growth","5.1"
"acquisitiveness","-75"
"acquit","85.7"
"acquittal","78.8"
"acquitted","-79"
"acral","-78"
"acre","5.5"
"acre estate","9.5"
"acre farm","9.4"
"acre ha","12.2"
"acreage","12.2"
"acrid","-91"
"acrid smell","8.2"
"acrid taste","4.9"
"acridity","-74"
"acridness","-74"
"acrimonious","-82"
"acrimonious debate","-94"
"acrimoniously","-82"
"acrimony","-85"
"acrobat","80.7"
"acrobatic","78.3"
"acrobatic dance","-86"
"acrobatic feat","-64"
"acrobatic stunt","-66"
"acrobatically","-74"
"acrolein","-7"
"acromegalic","-72"
"acromegaly","80.5"
"acromion","65.3"
"acronymic","-77"
"acrophobia","-87"
"acrosome reaction","8.7"
"across-the-board","85.5"
"across the country","-93"
"across the nation","-93"
"acrost","-86"
"acrostic","94.3"
"acrylic","-88"
"acrylic acid","-85"
"acrylic paint","99.6"
"act","80.7"
"act bored","84.8"
"act decisively","-89"
"act fcra","73"
"act foolish","-88"
"act impulsively","8"
"act out","-11"
"act part","72.7"
"act play","89.5"
"act quickly","3.7"
"act responsibly","65.2"
"act silly","81.4"
"act smart","81.4"
"act stupid","-78"
"act unilaterally","-78"
"act up","-8"
"act wisely","29"
"actaea racemosa","-61"
"acted fraudulently","62.4"
"acted negligently","-72"
"acted recklessly","-72"
"acted willfully","-30"
"actin filament","-4"
"actin filament assembly","-72"
"acting","82.1"
"acting air commodore","64"
"acting career","85.2"
"acting deputy director","7.1"
"acting ensign","6.7"
"acting general counsel","9.1"
"acting illegally","-75"
"acting out","77.2"
"acting wing commander","64"
"actinic dermatitis","-82"
"actinidia deliciosa","80.6"
"actinoceratidae","-80"
"actinomorphic","-5"
"actinotherapy","73.2"
"action","82"
"action-planning","-83"
"action adventure","3.2"
"action at law","76.8"
"action bronson","77.8"
"action conference cpac","-85"
"action figure","90.5"
"action flick","-33"
"action fund","76.8"
"action lawsuit","-85"
"action lawsuit against","-85"
"action movie","95.1"
"action seeking injunctive","73"
"action thriller","-70"
"actionaid","-72"
"actionaid international","-72"
"actioner","-70"
"activate","91.2"
"activated","-70"
"activated carbon filter","-6"
"activating","58.6"
"activating mutation","-86"
"activation","82.5"
"activation barrier","68.4"
"activation energy","68.4"
"active","6.5"
"active-duty","84.3"
"active conformation","-72"
"active engagement","-76"
"active ingredient","-73"
"active intellect","93.5"
"active involvement","-78"
"active lifestyle","-3"
"active participation","8.2"
"active participle","69.3"
"active role","-78"
"actively","94.7"
"actively collaborate","87.7"
"actively encourage","79.8"
"actively engage","79.8"
"actively manage","79.8"
"actively monitor","5.4"
"actively participate","-84"
"actively promote","79.8"
"actively resist","-78"
"activeness","79.9"
"activewear","-61"
"activism","-87"
"activist","86.5"
"activity","9"
"activity described","-93"
"actor","80"
"actor chow yun","-97"
"actor comedian","80"
"actor equity","86.3"
"actorly","-62"
"actress","62.8"
"actress singer","89.1"
"actress vivica","-79"
"actual","10.3"
"actual eviction","-82"
"actual malice","-58"
"actualist","73.6"
"actuality","20.8"
"actualization","13.8"
"actualize","60.6"
"actually","-76"
"actuated","86.7"
"actus reus","-65"
"acuity","85.6"
"acumen","80.4"
"acupuncture","-5"
"acupuncture oriental medicine","-5"
"acupuncturist","-5"
"acutance","91.1"
"acute","-86"
"acute accent","-67"
"acute anxiety","-73"
"acute asthma","-81"
"acute bacterial","83.4"
"acute care nurse practitioner","-74"
"acute chest pain","-20"
"acute coronary syndrome","-20"
"acute dehydration","-75"
"acute diarrhea","-74"
"acute diarrhoea","-65"
"acute exacerbation","-81"
"acute fever","-96"
"acute gastritis","-89"
"acute glossitis","-76"
"acute gvhd","-69"
"acute heart failure","-91"
"acute infectious disease","-90"
"acute inflammatory","-79"
"acute intermittent porphyria","-79"
"acute kidney failure","-56"
"acute leukemia","-88"
"acute lymphoblastic leukemia","-88"
"acute lymphocytic leukemia","-88"
"acute malnutrition","-65"
"acute myelogenous leukemia","-88"
"acute myeloid leukaemia","-88"
"acute myeloid leukemia","-88"
"acute onset","-72"
"acute otitis media","-81"
"acute phase","-69"
"acute pneumonia","-15"
"acute porphyria","-79"
"acute pulmonary","-89"
"acute rehabilitation","71.5"
"acute renal failure","-56"
"acute respiratory","-81"
"acute respiratory syndrome","-81"
"acute rheumatic fever","-71"
"acute shortage","-83"
"acute trauma","-84"
"acute triangle","71.7"
"acute urinary retention","-74"
"acute viral disease","-71"
"acutely","-77"
"acutely toxic","-16"
"acvp","7.6"
"acyclovir resistant","-41"
"acyl coa","-65"
"acyltransferase","-65"
"ad","-81"
"ad blocker","-8"
"ad campaign","90.3"
"ad exec","-65"
"ad hd","-77"
"ad hoc","9.4"
"ad hominem","73.4"
"ad hominem argument","73.4"
"ad hominem attack","-69"
"ad nauseam","5.9"
"ad revenue","82.6"
"ad valorem","7.7"
"ad valorem tax","88.5"
"adage","5.9"
"adagio","59.8"
"adamance","-83"
"adamance of purpose","-83"
"adamant","-69"
"adamantine","90.1"
"adamantium","90.1"
"adamantly","-69"
"adamic language","75"
"adaminaby","-71"
"adapt","5.4"
"adaptability","85.2"
"adaptable","5.4"
"adaptation","92.3"
"adapted","83.8"
"adapter","88"
"adaption","91.8"
"adaptive","84.1"
"adaptive optics system","3.9"
"adaptively","83.7"
"adaptiveness","83.6"
"adaptor","87.7"
"adaxial surface","-69"
"adblock","-8"
"add","9.5"
"add-on","-92"
"add adhd","74.5"
"add broth","-77"
"add flavor","5.4"
"add garlic","-77"
"add knowledge","75.7"
"add number","95.1"
"add number together","13"
"add on","76.6"
"add onion","-77"
"add spice","-3"
"add sugar","35.7"
"add two numbers","6.8"
"add two numbers together","93.2"
"add up column number","3.9"
"add up number","5.4"
"added value","10.6"
"addendum","9.1"
"adder","-85"
"adder tongue","-79"
"addict","-35"
"addicted","-24"
"addicted computer game","-71"
"addicting","-93"
"addiction","-85"
"addiction treatment","71.5"
"addictive","-78"
"addictive drug","-77"
"addictive nature","-77"
"addictive painkiller","11.2"
"addictive substance","-77"
"addition","8.6"
"additional","20.8"
"additionally","12.1"
"additive","-92"
"additive color","4.4"
"additivity","-80"
"addle","-64"
"addlehead","-77"
"addleshaw goddard","76.7"
"addling","84.8"
"address","6.8"
"address book","6.8"
"address label","5.4"
"addressee","-72"
"adduce","84.2"
"adducing evidence","-88"
"adductor","78.1"
"adefovir","-84"
"adelgid","-71"
"adelic","79.7"
"adelphi theatre","-62"
"adem altan afp getty","-79"
"adenoma","-63"
"adenopathy","-78"
"adenosine","94.3"
"adenosis","-58"
"adenoviral mediated gene","7.4"
"adenozine","94.3"
"adept","79.4"
"adept at","8.3"
"adeptly","85.5"
"adeptness","73.1"
"adequacy","-94"
"adequate","78.4"
"adequate assurance","22.2"
"adequate documentation","84.4"
"adequate explanation","8.4"
"adequate liquidity","13.7"
"adequate moisture","-5"
"adequate pain relief","-7"
"adequate remedy","93.9"
"adequate representation","15.2"
"adequate substantiation","84.4"
"adequate to","78.4"
"adequate ventilation","11"
"adequately","13.2"
"adequately capture","-84"
"adequately describe","6.4"
"adequately disclose","72.4"
"adequately enforce","-89"
"adequateness","-94"
"adessive","69.3"
"adforce","-67"
"adhart","87.5"
"adhd","-77"
"adhere","7.6"
"adhere strictly","65.2"
"adherence","86.9"
"adherent","78.3"
"adherently","78"
"adhesion contract","87.5"
"adhesion strength","68.6"
"adhesive","-86"
"adhesive-backed","-74"
"adhesive bandage","-85"
"adhesive strength","-62"
"adhesive strip","-63"
"adhesive tape","68.3"
"adiabatic","-76"
"adiabatic compression","-71"
"adiabatic expansion","-71"
"adiabatic process","-70"
"adiantum","14.7"
"adib","76.3"
"adience","-75"
"adieu","17.2"
"adipic acid","-85"
"adiponectin","78.3"
"adiponitrile","-85"
"adirondack","83.9"
"adirondack chair","7.4"
"adisson","70.3"
"adjacent","-94"
"adjacent parking lot","-9"
"adjectival","-64"
"adjectival suffix","-77"
"adjective","8.7"
"adjoin","-65"
"adjoining bathroom","7.2"
"adjoining cemetery","-71"
"adjoining parish","-88"
"adjourn","-64"
"adjourned sine die","-68"
"adjournment","-68"
"adjournment sine die","-68"
"adjudge","-59"
"adjudged guilty","-72"
"adjunct","-72"
"adjunct assistant professor","97"
"adjunct associate professor","97"
"adjunct faculty","7.6"
"adjunct faculty member","7.6"
"adjunct instructor","7.6"
"adjunct lecturer","97"
"adjunct professor","7.6"
"adjunctive","92"
"adjunctive therapy","-11"
"adjust","11.4"
"adjust clothes","-7"
"adjust seat","10.3"
"adjust volume","-88"
"adjust water temperature","-9"
"adjustable","8.9"
"adjustable wrench","10.3"
"adjusted","-74"
"adjusted gross income agi","79.5"
"adjustment","67.2"
"adjutant","6.7"
"adlerangriff","10.5"
"adm chegwidden","-75"
"admin","85.7"
"admin intervention","67.8"
"administer","88.9"
"administer corporal punishment","-85"
"administer oxygen","-72"
"administered intramuscularly","-75"
"administered orally","-67"
"administered parenterally","-67"
"administered subcutaneously","-91"
"administering oxygen","-72"
"administering poison","-32"
"administrability","64.2"
"administrable","64.2"
"administrate","79.8"
"administrated by","72.3"
"administration","10.9"
"administration mba","3.8"
"administration mba degree","3.8"
"administration mba program","3.8"
"administration mpa","3.8"
"administrative","95.2"
"administrative assistant","7.6"
"administrative burden","7.8"
"administrative district","82.3"
"administrative division","82.3"
"administrative overhead","7.8"
"administrator","89.1"
"admirable","31.5"
"admirably","31.5"
"admiral","82.4"
"admiral general aladeen","-72"
"admiral graf spee","-7"
"admiral nimitz","4.3"
"admiral sir","82.4"
"admiration","100"
"admire","70.5"
"admired","65.7"
"admirer","64.8"
"admiringly","-32"
"admissible","82.4"
"admissible evidence","-77"
"admission","8.3"
"admission tutor","8.4"
"admit","85.2"
"admit defeat","3.6"
"admittedly","-93"
"admixture","-16"
"admonish","-81"
"admonishing","-84"
"admonishment","74.9"
"admonitory","-88"
"adnan akmal","-77"
"adnate","-5"
"adnyamathanha","-71"
"adobe","72.9"
"adobe acrobat plugin","41.5"
"adobe brick","72.9"
"adobe rgb","4.4"
"adolescence","82.4"
"adolescent","5.2"
"adolescent growth spurt","91.8"
"adolf hitler","6"
"adolph hitler","6"
"adomnan","9.5"
"adomnn","9.5"
"adopt","92.2"
"adopt child","81.9"
"adopted pursuant","-76"
"adoptive family","4.8"
"adoptive parent","4.8"
"adoptive placement","12.1"
"adorable","86"
"adorable little","72.3"
"adorable puppy","80.8"
"adorably","28.7"
"adoration","78.7"
"adore","83.1"
"adoring","30.2"
"adoring crowd","33.5"
"adoringly","80.3"
"adorn","3.4"
"adorned","69.2"
"adornment","11"
"adrenal","-92"
"adrenal cortical steroid","-67"
"adrenal gland","4.7"
"adrenal hyperplasia","80.5"
"adrenal suppression","-76"
"adrenalin","73.9"
"adrenalin rush","80.1"
"adrenaline","80.1"
"adrenaline rush","-79"
"adrenaline surge","80.1"
"adrenarche","91.8"
"adrenergic","88"
"adrenergic drug","69.8"
"adrenergic receptor","78.3"
"adrenergic receptor agonist","-76"
"adrenocortical","-72"
"adrenocorticotrophic","89"
"adrenocorticotropic","89"
"adrenocorticotropic hormone","78.3"
"adrenoleukodystrophy","-68"
"adriano celentano","8.6"
"adriatic league","91"
"adrift","-79"
"adroit","81"
"adroitly","85.7"
"adroitness","87.5"
"ads","8.3"
"ads cft correspondence","80.2"
"adscititious","-79"
"adsense","82.6"
"adsorbate","68.4"
"adsorbed layer","-81"
"adsorption","89.5"
"adsorption onto","80.2"
"adsorptive","80.2"
"adulate","-13"
"adulation","88.8"
"adulator","88.3"
"adult","79.9"
"adult beetle","89.2"
"adult caregiver","4.8"
"adult drink","-28"
"adult education","35.8"
"adult foster care","77.1"
"adult male","83.6"
"adult male suffrage","11.1"
"adult nurse practitioner","-74"
"adult obesity","-97"
"adult onset","-68"
"adult supervision","76.7"
"adulterant","-72"
"adulterate","-85"
"adulterated food","-72"
"adulterated milk","-72"
"adulteration","-72"
"adulterer","-73"
"adulteress","-73"
"adulterous affair","76.6"
"adulterous relationship","-93"
"adulterous wife","-73"
"adultery","-28"
"adulthood","85.7"
"adultry","-73"
"adumbrate","-86"
"adusta","-55"
"advance","5.7"
"advance battle","88"
"advance career","10.6"
"advance civilization","9.9"
"advance knowledge","9.2"
"advance next level","70.9"
"advanced","78.1"
"advanced heart failure","-91"
"advanced placement exam","-8"
"advanced weaponry","-69"
"advancement","90.9"
"advancing infantry","-84"
"advantage","85.6"
"advantageous","66.7"
"advantageousness","87.5"
